team_id,team_name,team_name_short,image_url
1,ROYAL CHALLENGERS BANGALORE,RCB,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png
2,SUNRISERS HYDERABAD,SRH,https://documents.iplt20.com/ipl/SRH/Logos/Logooutline/SRHoutline.png
3,MUMBAI INDIANS,MI,https://documents.iplt20.com/ipl/MI/Logos/Logooutline/MIoutline.png
4,RISING PUNE SUPERGIANT,RPS,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/RPS.png?v=2
5,GUJARAT LIONS,GL,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/GL.png?v=2
6,KOLKATA KNIGHT RIDERS,KKR,https://documents.iplt20.com/ipl/KKR/Logos/Logooutline/KKRoutline.png
129,CHENNAI SUPER KINGS,CSK,https://documents.iplt20.com/ipl/CSK/logos/Logooutline/CSKoutline.png
134,RAJASTHAN ROYALS,RR,https://1000logos.net/wp-content/uploads/2024/03/Rajasthan-Royals-Logo-768x432.png
252,DELHI CAPITALS,DC,https://documents.iplt20.com/ipl/DC/Logos/LogoOutline/DCoutline.png
494,PUNJAB KINGS,PK,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png
614,LUCKNOW SUPER GIANTS,LSG,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png
615,GUJARAT TITANS,GT,https://documents.iplt20.com/ipl/GT/Logos/Logooutline/GToutline.png
1068,DECCAN CHARGERS,DEC,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png?v=2
1414,KOCHI TUSKERS KERALA,KTK,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/KTK.png?v=2
1419,PUNE WARRIORS,PWI,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/PWI.png?v=2
3604,RISING PUNE SUPERGIANTS,RPS,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/RPS.png?v=2
